DATE,Rainfall Rate,Rainfall level,Water level,Class,elevation,Slope,Distance from River
01/01/2024 00:00,0,LIGHT,4382.295833,HIGH,8.3,5.58944368,322
01/01/2024 01:00,0,LIGHT,4434.258333,HIGH,9.2,5.415483,316
01/01/2024 02:00,0,LIGHT,4510.754167,HIGH,9.6,2.82047844,302
01/01/2024 03:00,0,LIGHT,4455.4875,HIGH,9.3,1.91265225,269
01/01/2024 04:00,0,LIGHT,4387.520833,HIGH,8.8,2.9324019,261
01/01/2024 05:00,0,LIGHT,4374.7,HIGH,8.9,3.42179823,240.34
01/01/2024 06:00,0,LIGHT,4373.05,HIGH,8.6,2.64366388,221.56
01/01/2024 07:00,0,LIGHT,4375.875,HIGH,8.7,1.46716166,210.1
01/01/2024 08:00,0,LIGHT,4399.841667,HIGH,9,3.29412222,198.1
01/01/2024 09:00,0,LIGHT,4410.7125,HIGH,9,3.5296936,187.1
01/01/2024 10:00,0,LIGHT,4419.229167,HIGH,11.3,3.6637044,141.14
01/01/2024 11:00,0,LIGHT,4417.616667,HIGH,12.2,3.95860839,123.6
01/01/2024 12:00,0,LIGHT,4415.691667,HIGH,12.4,1.64024699,118.64
01/01/2024 13:00,0,LIGHT,4420.508333,HIGH,12.8,0.98432028,97.69
01/01/2024 14:00,0,LIGHT,4432.741667,HIGH,12.7,0.73370111,78.11
01/01/2024 15:00,0,LIGHT,4433.704167,HIGH,12.3,2.64366388,72.18
01/01/2024 16:00,0,LIGHT,4430.420833,HIGH,11,3.42179823,46.33
01/01/2024 17:00,0,LIGHT,4425.645833,HIGH,10.2,2.70389485,33.99
01/01/2024 18:00,0,LIGHT,4415.891667,HIGH,9.8,3.10994267,27.514
01/01/2024 19:00,0,LIGHT,4412.954167,HIGH,7.8,0.73370111,9.087
01/01/2024 20:00,0,LIGHT,4406.3375,HIGH,7.3,1.9680599,4.069
01/01/2024 21:00,19.93220339,INTENSE,4399.3875,HIGH,7.3,3.54483652,22.625
01/01/2024 22:00,0,LIGHT,4480.7125,HIGH,8.1,4.72177029,35.62
01/01/2024 23:00,0,LIGHT,4657.345833,HIGH,14.5,3.48386598,73.33
02/01/2024 00:00,0,LIGHT,4690.9625,HIGH,16,2.64366388,86.2
02/01/2024 01:00,0,LIGHT,4629.508333,HIGH,16.3,2.64366388,103.46
02/01/2024 02:00,0,LIGHT,4531.754167,HIGH,15.9,3.02248573,108.8
02/01/2024 03:00,0,LIGHT,4483.179167,HIGH,15.1,3.61959124,118.97
02/01/2024 04:00,0,LIGHT,4445.108333,HIGH,14.7,1.18295407,130.1
02/01/2024 05:00,0,LIGHT,4421.758333,HIGH,14.7,2.10017395,139.4
02/01/2024 06:00,0,LIGHT,4406.779167,HIGH,14.2,0.92803621,144.12
02/01/2024 07:00,0,LIGHT,4401.145833,HIGH,13.9,3.95860839,147.6
02/01/2024 08:00,0,LIGHT,4405.5875,HIGH,13.6,5.48380661,142.36
02/01/2024 09:00,0,LIGHT,4414.008333,HIGH,13.2,3.6637044,140.24
02/01/2024 10:00,0,LIGHT,4432.445833,HIGH,13,2.36490035,124.18
02/01/2024 11:00,0,LIGHT,4441.495833,HIGH,13,2.38750553,115.38
02/01/2024 12:00,0,LIGHT,4448.816667,HIGH,13,3.09265065,105.53
02/01/2024 13:00,0,LIGHT,4461.395833,HIGH,13,5.27611876,94.67
02/01/2024 14:00,0,LIGHT,4459.104167,HIGH,13,5.32632017,89.23
02/01/2024 15:00,0,LIGHT,4459.5875,HIGH,13,4.19471979,83.97
02/01/2024 16:00,0,LIGHT,4460.2,HIGH,13,4.68774796,79.56
02/01/2024 17:00,0,LIGHT,4453.354167,HIGH,12.5,3.54483652,53.85
02/01/2024 18:00,0,LIGHT,4438.675,HIGH,11.7,1.35270059,44.175
02/01/2024 19:00,0,LIGHT,4432.204167,HIGH,9.8,3.54483652,30.13
02/01/2024 20:00,0,LIGHT,4421.458333,HIGH,9.7,5.11208725,30.18
02/01/2024 21:00,0,LIGHT,4417.054167,HIGH,9.5,3.5296936,23.104
02/01/2024 22:00,0,LIGHT,4409.695833,HIGH,9.1,0.92803621,13.39
02/01/2024 23:00,0,LIGHT,4403.191667,HIGH,8.7,0.46404853,3.401
03/01/2024 00:00,0,LIGHT,4396.004167,HIGH,9.6,2.56114078,10.918
