Rainfall,Water Level,Elevation,Slope,Distance from River,Flood Status
19.93220339,4399.3875,8.3,5.58944368,322.0,1
19.93220339,4399.3875,9.2,5.415483,316.0,1
19.93220339,4399.3875,9.6,2.82047844,302.0,1
19.93220339,4399.3875,9.3,1.91265225,269.0,2
19.93220339,4399.3875,8.8,2.9324019,261.0,2
19.93220339,4399.3875,8.9,3.42179823,240.34,1
19.93220339,4399.3875,8.6,2.64366388,221.56,2
19.93220339,4399.3875,8.7,1.46716166,210.1,2
19.93220339,4399.3875,9.0,3.29412222,198.1,2
19.93220339,4399.3875,9.0,3.5296936,187.1,2
19.93220339,4399.3875,11.3,3.6637044,141.14,2
19.93220339,4399.3875,12.2,3.95860839,123.6,2
19.93220339,4399.3875,12.4,1.64024699,118.64,2
19.93220339,4399.3875,12.8,0.98432028,97.69,2
19.93220339,4399.3875,12.7,0.73370111,78.11,2
19.93220339,4399.3875,12.3,2.64366388,72.18,2
19.93220339,4399.3875,11.0,3.42179823,46.33,2
19.93220339,4399.3875,10.2,2.70389485,33.99,2
19.93220339,4399.3875,9.8,3.10994267,27.514,2
19.93220339,4399.3875,7.8,0.73370111,9.087,2
19.93220339,4399.3875,7.3,1.9680599,4.069,2
19.93220339,4399.3875,7.3,3.54483652,22.625,2
19.93220339,4399.3875,8.1,4.72177029,35.62,2
19.93220339,4399.3875,14.5,3.48386598,73.33,2
19.93220339,4399.3875,16.0,2.64366388,86.2,2
19.93220339,4399.3875,16.3,2.64366388,103.46,2
19.93220339,4399.3875,15.9,3.02248573,108.8,2
19.93220339,4399.3875,15.1,3.61959124,118.97,2
19.93220339,4399.3875,14.7,1.18295407,130.1,2
19.93220339,4399.3875,14.7,2.10017395,139.4,2
19.93220339,4399.3875,14.2,0.92803621,144.12,2
19.93220339,4399.3875,13.9,3.95860839,147.6,2
19.93220339,4399.3875,13.6,5.48380661,142.36,2
19.93220339,4399.3875,13.2,3.6637044,140.24,2
19.93220339,4399.3875,13.0,2.36490035,124.18,2
19.93220339,4399.3875,13.0,2.38750553,115.38,2
19.93220339,4399.3875,13.0,3.09265065,105.53,2
19.93220339,4399.3875,13.0,5.27611876,94.67,2
19.93220339,4399.3875,13.0,5.32632017,89.23,2
19.93220339,4399.3875,13.0,4.19471979,83.97,2
19.93220339,4399.3875,13.0,4.68774796,79.56,2
19.93220339,4399.3875,12.5,3.54483652,53.85,2
19.93220339,4399.3875,11.7,1.35270059,44.175,2
19.93220339,4399.3875,9.8,3.54483652,30.13,2
19.93220339,4399.3875,9.7,5.11208725,30.18,2
19.93220339,4399.3875,9.5,3.5296936,23.104,2
19.93220339,4399.3875,9.1,0.92803621,13.39,2
19.93220339,4399.3875,8.7,0.46404853,3.401,2
19.93220339,4399.3875,9.6,2.56114078,10.918,2
19.93220339,4399.3875,10.8,4.10453463,20.615,2
19.93220339,4399.3875,11.3,3.54483652,29.49,2
19.93220339,4399.3875,12.0,1.99518502,35.88,2
19.93220339,4399.3875,13.4,1.91265225,49.48,2
19.93220339,4399.3875,14.4,1.85558569,67.04,2
19.93220339,4399.3875,13.8,1.31232667,94.6,2
19.93220339,4399.3875,13.5,0.98432028,102.07,2
19.93220339,4399.3875,12.8,2.9324019,123.37,2
19.93220339,4399.3875,11.5,2.10017395,138.63,2
19.93220339,4399.3875,11.1,0.6562494,143.53,2
19.93220339,4399.3875,10.0,3.5296936,162.06,2
19.93220339,4399.3875,9.8,3.73605657,168.3,2
19.93220339,4399.3875,8.9,2.31902623,187.0,2
19.93220339,4399.3875,8.5,2.80138683,196.8,2
19.93220339,4399.3875,7.9,1.03755331,202.4,2
19.93220339,4399.3875,7.7,1.85558569,205.3,2
19.93220339,4399.3875,8.5,2.07442665,190.3,2
19.93220339,4399.3875,9.3,2.82047844,182.5,2
19.93220339,4399.3875,9.8,4.91003084,175.0,2
19.93220339,4399.3875,10.6,1.31232667,165.62,2
19.93220339,4399.3875,11.1,4.72177029,161.82,2
19.93220339,4399.3875,12.1,5.4448719,144.5,2
19.93220339,4399.3875,12.7,3.6637044,137.95,2
19.93220339,4399.3875,13.0,1.39190221,127.5,2
19.93220339,4399.3875,13.2,1.46716166,122.2,2
19.93220339,4399.3875,13.6,1.18295407,106.96,2
19.93220339,4399.3875,13.9,2.49744964,84.6,2
19.93220339,4399.3875,13.6,3.42179823,80.65,2
19.93220339,4399.3875,13.6,3.228374,73.21,2
19.93220339,4399.3875,13.8,1.67271197,65.24,2
19.93220339,4399.3875,13.5,1.03755331,60.31,2
19.93220339,4399.3875,13.1,1.39190221,50.8,2
19.93220339,4399.3875,12.2,2.07442665,36.8,2
19.93220339,4399.3875,11.7,2.07442665,22.847,2
19.93220339,4399.3875,11.4,0.73370111,14.37,2
19.93220339,4399.3875,11.1,0.73370111,6.408,2
19.93220339,4399.3875,11.0,0.6562494,5.013,2
19.93220339,4399.3875,11.0,1.46716166,17.17,2
19.93220339,4399.3875,11.3,1.35270059,29.214,2
19.93220339,4399.3875,11.9,0.98432028,39.53,2
19.93220339,4399.3875,12.5,0.73370111,48.63,2
19.93220339,4399.3875,12.9,1.18295407,54.18,2
19.93220339,4399.3875,13.1,0.6562494,77.78,2
19.93220339,4399.3875,13.1,1.85558569,80.63,2
19.93220339,4399.3875,13.2,0.46404853,97.5,2
19.93220339,4399.3875,13.1,2.07442665,105.92,2
19.93220339,4399.3875,13.1,3.82105112,116.1,2
19.93220339,4399.3875,13.0,3.82105112,101.0,2
19.93220339,4399.3875,13.0,4.45417881,84.65,2
19.93220339,4399.3875,13.0,5.1224966,70.63,2
19.93220339,4399.3875,12.1,2.36490035,40.59,2
19.93220339,4399.3875,11.2,1.91265225,27.876,2
19.93220339,4399.3875,10.9,1.64024699,19.117,2
19.93220339,4399.3875,10.9,2.96876574,6.056,2
19.93220339,4399.3875,11.2,2.20014167,8.602,2
19.93220339,4399.3875,11.2,2.96876574,14.563,2
19.93220339,4399.3875,11.7,3.02248573,27.635,2
19.93220339,4399.3875,13.3,0.46404853,43.97,2
19.93220339,4399.3875,14.8,1.03755331,55.7,2
19.93220339,4399.3875,15.1,2.70389485,70.34,2
19.93220339,4399.3875,15.1,2.80138683,94.6,2
19.93220339,4399.3875,14.0,0.6562494,113.27,2
19.93220339,4399.3875,12.7,2.38750553,134.78,2
19.93220339,4399.3875,11.8,4.05208683,150.58,2
19.93220339,4399.3875,10.6,4.45417881,165.2,2
19.93220339,4399.3875,9.8,5.09120321,166.55,2
19.93220339,4399.3875,8.7,6.34523964,170.5,2
19.93220339,4399.3875,8.5,4.9208765,119.12,2
19.93220339,4399.3875,8.2,1.18295407,114.43,2
19.93220339,4399.3875,8.6,0.73370111,95.27,2
19.93220339,4399.3875,8.8,3.37449098,83.44,2
19.93220339,4399.3875,9.7,4.54907036,68.16,2
19.93220339,4399.3875,11.0,3.228374,39.26,2
19.93220339,4399.3875,10.6,2.64366388,30.85,2
19.93220339,4399.3875,10.3,3.02248573,20.18,2
19.93220339,4399.3875,10.0,3.228374,8.434,2
19.93220339,4399.3875,10.0,3.09265065,1.7796,2
19.93220339,4399.3875,10.0,4.98544502,11.63,2
19.93220339,4399.3875,10.4,4.05208683,25.056,2
19.93220339,4399.3875,10.8,1.46716166,34.735,2
19.93220339,4399.3875,11.2,1.91265225,45.87,2
19.93220339,4399.3875,12.5,0.6562494,64.32,2
19.93220339,4399.3875,13.4,2.64366388,78.37,2
19.93220339,4399.3875,14.0,1.9680599,106.1,2
19.93220339,4399.3875,13.8,2.64366388,85.19,2
19.93220339,4399.3875,13.5,1.18295407,77.24,2
19.93220339,4399.3875,10.6,1.67271197,29.614,2
19.93220339,4399.3875,10.9,0.6562494,7.264,2
19.93220339,4399.3875,11.6,1.76652288,30.41,2
19.93220339,4399.3875,10.5,2.36490035,66.89,2
19.93220339,4399.3875,9.5,4.39381409,93.93,2
19.93220339,4399.3875,9.1,4.63047934,105.75,2
19.93220339,4399.3875,9.1,3.27780986,119.54,2
19.93220339,4399.3875,9.2,2.20014167,129.8,2
19.93220339,4399.3875,8.5,1.76652288,142.19,2
19.93220339,4399.3875,7.5,0.73370111,164.63,2
19.93220339,4399.3875,6.7,1.85558569,179.92,2
19.93220339,4399.3875,6.0,2.80138683,207.8,2
19.93220339,4399.3875,6.3,2.64366388,237.4,2
19.93220339,4399.3875,6.9,3.34257746,256.6,1
19.93220339,4399.3875,6.0,2.9324019,301.64,1
19.93220339,4399.3875,6.1,2.10017395,334.4,1
19.93220339,4399.3875,6.0,1.64024699,312.0,1
19.93220339,4399.3875,6.2,3.82105112,302.8,1
19.93220339,4399.3875,6.5,0.46404853,262.75,2
19.93220339,4399.3875,6.0,5.89472437,222.86,1
19.93220339,4399.3875,7.1,4.9208765,198.53,2
19.93220339,4399.3875,7.9,4.1434288,168.7,2
19.93220339,4399.3875,7.9,4.05208683,157.42,2
19.93220339,4399.3875,7.1,1.46716166,119.54,2
19.93220339,4399.3875,7.0,0.0,108.45,2
19.93220339,4399.3875,7.0,1.39190221,100.8,2
19.93220339,4399.3875,7.0,1.85558569,100.85,2
19.93220339,4399.3875,7.4,0.92803621,78.57,2
19.93220339,4399.3875,7.9,3.54483652,68.38,2
19.93220339,4399.3875,8.3,3.61959124,53.72,2
19.93220339,4399.3875,8.3,4.10453463,48.96,2
19.93220339,4399.3875,8.6,4.86640167,31.3,2
19.93220339,4399.3875,8.7,3.94507098,9.924,2
19.93220339,4399.3875,9.1,1.99518502,17.693,2
19.93220339,4399.3875,9.5,1.31232667,37.81,2
19.93220339,4399.3875,9.7,2.80138683,46.835,2
19.93220339,4399.3875,10.0,5.32632017,62.24,2
19.93220339,4399.3875,9.3,5.1224966,75.47,2
19.93220339,4399.3875,8.1,3.94507098,108.01,2
19.93220339,4399.3875,7.7,3.10994267,120.26,2
19.93220339,4399.3875,8.2,2.96876574,133.61,2
19.93220339,4399.3875,8.8,1.99518502,147.33,2
19.93220339,4399.3875,8.9,2.20014167,149.2,2
19.93220339,4399.3875,9.3,2.82047844,108.52,2
19.93220339,4399.3875,10.1,2.31902623,104.34,2
19.93220339,4399.3875,11.8,2.96876574,74.22,2
19.93220339,4399.3875,12.2,4.05208683,71.02,2
19.93220339,4399.3875,10.8,3.228374,41.63,2
19.93220339,4399.3875,10.1,2.29574394,24.01,2
19.93220339,4399.3875,9.3,2.31902623,0.0,2
19.93220339,4399.3875,9.2,1.46716166,0.0,2
19.93220339,4399.3875,8.7,2.20014167,18.076,2
19.93220339,4399.3875,8.1,2.31902623,49.75,2
19.93220339,4399.3875,7.3,3.82105112,72.76,2
19.93220339,4399.3875,7.0,4.68774796,95.73,2
19.93220339,4399.3875,7.0,2.56114078,103.87,2
19.93220339,4399.3875,7.6,3.29412222,134.2,2
19.93220339,4399.3875,8.9,1.64024699,160.58,2
19.93220339,4399.3875,8.5,3.37449098,178.28,2
